sep=;
CNAE;CNAE_numerico;Secao;Secao_descricao;Divisao;Grupo;Classe;Subclasse;Atividade;CBMPE_nivel;CBMPE_descricao;Anexo;Nivel_de_risco;Descricao_do_nivel;Dispensa_licenciamento_previo;Pagina_DOE;Alterado_por_errata
0133-4/08;0133408;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;08;Cultivo de mamão;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;11;Não
0133-4/09;0133409;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;09;Cultivo de maracujá;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;11;Não
0133-4/10;0133410;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;10;Cultivo de manga;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;11;Não
0133-4/11;0133411;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;11;Cultivo de pêssego;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;11;Não
0133-4/99;0133499;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;99;Cultivo de frutas de lavoura permanente não especificadas anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;12;Não
0134-2/00;0134200;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0134-2;00;Cultivo de café;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;12;Não
0135-1/00;0135100;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0135-1;00;Cultivo de cacau;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;12;Não
0139-3/01;0139301;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0139-3;01;Cultivo de chá-da-índia;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;12;Não
0139-3/02;0139302;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0139-3;02;Cultivo de erva-mate;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;12;Não
0139-3/03;0139303;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0139-3;03;Cultivo de pimenta-do-reino;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;12;Não
0139-3/04;0139304;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0139-3;04;Cultivo de plantas para condimento, exceto pimenta-do-reino;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;12;Não
0139-3/05;0139305;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0139-3;05;Cultivo de dendê;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;12;Não
0139-3/06;0139306;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0139-3;06;Cultivo de seringueira;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0139-3/99;0139399;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0139-3;99;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0141-5/01;0141501;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;014;0141-5;01;Produção de sementes certificadas, exceto de forrageiras para pasto;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0141-5/02;0141502;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;014;0141-5;02;Produção de sementes certificadas de forrageiras para formação de pasto;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0142-3/00;0142300;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;014;0142-3;00;Produção de mudas e outras formas de propagação vegetal, certificadas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0151-2/01;0151201;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0151-2;01;Criação de bovinos para corte;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0151-2/02;0151202;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0151-2;02;Criação de bovinos para leite;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0151-2/03;0151203;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0151-2;03;Criação de bovinos, exceto para corte e leite;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0152-1/01;0152101;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0152-1;01;Criação de bufalinos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0152-1/02;0152102;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0152-1;02;Criação de eqüinos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0152-1/03;0152103;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0152-1;03;Criação de asininos e muares;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0153-9/01;0153901;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0153-9;01;Criação de caprinos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0153-9/02;0153902;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0153-9;02;Criação de ovinos, inclusive para produção de lã;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0154-7/00;0154700;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0154-7;00;Criação de suínos;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0155-5/01;0155501;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0155-5;01;Criação de frangos para corte;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0155-5/02;0155502;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0155-5;02;Produção de pintos de um dia;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0155-5/03;0155503;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0155-5;03;Criação de outros galináceos, exceto para corte;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0155-5/04;0155504;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0155-5;04;Criação de aves, exceto galináceos;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0155-5/05;0155505;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0155-5;05;Produção de ovos;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0159-8/01;0159801;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0159-8;01;Apicultura;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0159-8/02;0159802;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0159-8;02;Criação de animais de estimação;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0159-8/03;0159803;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0159-8;03;Criação de escargô;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0159-8/04;0159804;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0159-8;04;Criação de bicho-da-seda;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0159-8/99;0159899;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;015;0159-8;99;Criação de outros animais não especificados anteriormente;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0161-0/01;0161001;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;016;0161-0;01;Serviço de pulverização e controle de pragas agrícolas;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;43;Não
0161-0/02;0161002;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;016;0161-0;02;Serviço de poda de árvores para lavouras;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
0161-0/03;0161003;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;016;0161-0;03;Serviço de preparação de terreno, cultivo e colheita;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;13;Não
